posnum,spanishword,englishmeaning,wordreference,type,level
es0001,gato,cat,noun,animals,0
es0002,perro,dog,noun,animals,0
es0003,pajaro,bird,noun,animals,0
es0004,pez,fish,noun,animals,0
es0005,correr,to run,verb,actions,0
es0006,vaca,cow,noun,animals,0
es0007,cerdo,pig,noun,animals,0
es0008,oveja,sheep,noun,animals,0
es0009,raton,mouse,noun,animals,0
es0010,conejo,rabbit,noun,animals,0
es0011,pan,bread,noun,food,0
es0012,agua,water,noun,food,0
es0013,leche,milk,noun,food,0
es0014,huevo,egg,noun,food,0
es0015,queso,cheese,noun,food,0
es0016,carne,meat,noun,food,0
es0017,pollo,chicken,noun,food,0
es0018,arroz,rice,noun,food,0
es0019,fruta,fruit,noun,food,0
es0020,verdura,vegetable,noun,food,0
es0021,rojo,red,adjective,colors,0
es0022,azul,blue,adjective,colors,0
es0023,verde,green,adjective,colors,0
es0024,amarillo,yellow,adjective,colors,0
es0025,negro,black,adjective,colors,0
es0026,blanco,white,adjective,colors,0
es0027,grande,big,adjective,basic,0
es0028,pequeño,small,adjective,basic,0
es0029,largo,long,adjective,basic,0
es0030,corto,short,adjective,basic,0
es0031,caliente,hot,adjective,basic,0
es0032,frio,cold,adjective,basic,0
es0033,familia,family,noun,people,0
es0034,amigo,friend,noun,people,0
es0035,nino,child,noun,people,0
es0036,hombre,man,noun,people,0
es0037,mujer,woman,noun,people,0
es0038,casa,house,noun,places,0
es0039,escuela,school,noun,places,0
es0040,ciudad,city,noun,places,0
es0041,calle,street,noun,places,0
es0042,libro,book,noun,objects,0
es0043,mesa,table,noun,objects,0
es0044,silla,chair,noun,objects,0
es0045,puerta,door,noun,objects,0
es0046,ventana,window,noun,objects,0
es0047,coche,car,noun,transport,0
es0048,tren,train,noun,transport,0
es0049,avion,plane,noun,transport,0
es0050,caballo,horse,noun,animals,0
